parent,id,time,timestamp,by,text,score
33,34,1160495633,2006-10-10 15:53:53 UTC,pg,what do you mean?  this story's still not #1,
15,17,1160423565,2006-10-09 19:52:45 UTC,pg,Is there anywhere to eat on Sandhill Road?,
30,31,1160494805,2006-10-10 15:40:05 UTC,pg,I'm tuned...,
34,36,1160496061,2006-10-10 16:01:01 UTC,pg,Can you do it again?,
21,22,1160446702,2006-10-10 02:18:22 UTC,pg,It's kind of funny that Sevin Rosen is giving up at the same time Sequoia is scoring on this scale.,
1,15,1160423461,2006-10-09 19:51:01 UTC,sama,&#34;the rising star of venture capital&#34; -unknown VC eating lunch on SHR,
43,44,1160578848,2006-10-11 15:00:48 UTC,spez,"Welcome back, Randall",
31,33,1160495440,2006-10-10 15:50:40 UTC,spez,winnar winnar chicken dinnar!,
34,35,1160495862,2006-10-10 15:57:42 UTC,spez,"perhaps if i hadn't told you it was coming

http://lipstick.com/static/onlyforamoment.png",
29,30,1160494499,2006-10-10 15:34:59 UTC,spez,Stay tuned...,
20,23,1160447453,2006-10-10 02:30:53 UTC,starklysnarky,"This is interesting, but the limitations become apparent with one of their example searches: http://tinyurl.com/qqnum

This comparison shows ""early stage"" companies offering a higher salary than fortune XXX companies. However, these numbers don't seem to indicate total compensation, such as benefits and stock or options.

Still, a cool use of search technology.",
37,41,1160520368,2006-10-10 22:46:08 UTC,starklysnarky,"it's interesting how a simple set of features can make the product seem wholly different, new, and interesting. that, and the use of 'revolutionary' and 'incredible' everywhere. =)",
